Registration Number,Action ID,Builder,Promoter Name,Project Name,District,Taluka,Project Type,Approved On,Proposed Completion Date,Proposed Completion Date At Registration,Project Address,Latitude,Longitude,Total Units,Has Quarterly Update,Units Booked (Q3_FY25-26),Units Available (Q3_FY25-26),Units Booked (Q4_FY25-26),Units Available (Q4_FY25-26),Units Booked (Q1_FY26-27),Units Available (Q1_FY26-27)
PRM/KA/RERA/1251/446/PR/201215/003752,7426,VIKYATH INFRA,Vikyath Infra,Vikyath White Meadows,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2020-12-15,2021-11-30,2021-11-30,"Sy No. 35/1 White city Layout Seegehalli, K R Puram",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/210111/003772,7430,Salarpuria Sattva,SALARPURIA REAL ESTATES PRIVATE LIMITED,SALARPURIA-SATTVA SIGNET,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2021-01-11,2024-08-31,2024-08-31,"Survey No. 6/2, situated at Kasavanahalli Village, , Varthur Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/210319/004019,7434,Ajmera,AJMERA HOUSING CORPORATION BANGALORE,AJMERA NUCLEUS PHASE 2 (RESIDENTIAL -C WING),Bengaluru Urban,Anekal,Residential/Group Housing,2021-03-19,2024-03-31,2023-12-31,"4. AJMERA NUCLEUS - SY NO 13/2, 13/5, 14/1, 14/2, & 14/20 OF DODDANAGAMANGALA VILLAGE, , BEGUR HOBLI, BANGALORE EAST",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/201201/003735,7439,Kata Venkata Reddy and Kata Padmavathi,Kata Venkata Reddy and Kata Padmavathi,Rajinigandha Apartment,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2020-12-01,2022-12-31,2022-12-31,"Rajinigandha Apartments, No 7A 7B, 5Th Main Road, 2ND Cross, NRI Layout, Kalkere",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/201201/003736,7445,Pionier,PIONIER GARDENIAA PHASE II,GREENDALES PHASE II,Bengaluru Urban,Anekal,Plotted Development,2020-12-01,2025-11-30,2025-11-30,"SY NO.37, 40/2 AND 41/3 GATTAHALLI VILLAGE, SARJAPURA HOBLI, ANEKAL TALUK, BENGALURU, KARNATAKA",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210129/003799,7449,SGR BUILDTECH LLP,SGR BUILDTECH LLP,G R FLORET,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-01-29,2026-12-31,2026-12-31,"Khatha No 96/97/46/2, Ward No 192, Yelenahalli Village, Koppa Road, Begur Hobli, Bangalore",NA,NA,156,Yes,89,67,90,66,NA,NA
PRM/KA/RERA/1251/446/PR/210111/003774,7453,SRI BALAJI GROUP,SRI BALAJI GROUP,SRI BALAJI SAPPHIRE,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2021-01-11,2023-03-31,2023-03-31,"Survey No.48, Khatha No.86, Kodigehalli Village, KR Puram Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/210219/003913,7456,AHAD BUILDERS PVT LTD,AHAD BUILDERS PRIVATE LIMITED,AHAD SERENITY,Bengaluru Urban,Anekal,Residential/Group Housing,2021-02-19,2024-12-31,2024-06-30,"Survey Nos. 125, 126, 127 & 128, Rayasandra Village, Sarjapura Village,, Anekal Taluk, Bengaluru",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/201201/003737,7462,SUGUNA BUILDERS AND DEVELOPERS,SUGUNA  BUILDERS AND DEVELOPERS,SUGUNA PRISTINE SQUARE,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2020-12-01,2026-12-31,2026-12-31,"Property No./PID No. 1263/142/2 ,Ward No: Ward-160, Haligevaderahalli Village,Kengeri Hobli,Bangalore South, Bengaluru.",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/210111/003776,7472,K GANESH BABU,K GANESH BABU,ECOSPRINGS - 1,Bengaluru Urban,Bengaluru East,Plotted Development,2021-01-11,2022-03-31,2022-03-31,"SY NO. 33/2 & 49/3, KATTUGOLLAHALLI, BIDARAHALLI HOBLI,, BANGALORE EAST TALUK, BANGALORE -",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210219/003915,7475,SUNRISE DEVELOPERS,SUNRISE DEVELOPERS,SUNRISE SERENITY,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-02-19,2023-12-30,2023-12-30,"Sy.No.24, Katha No.2535/24/2698/1, Mylsandra Village, Kengeri Hobli, in Ward No.198",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/210111/003777,7481,Modern Spaaces,MODERN SPAACES VENTURES,Soul Tree - Nirvana,Bengaluru Urban,Anekal,Residential/Group Housing,2021-01-11,2023-12-01,2023-12-01,"Sy No. 12, Kadaagrahar Village, , Sarjapura Hobli, Anekal Taluk,",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/210312/003996,7482,Modern Spaaces,MODERN SPAACES VENTURES,Soul Tree - Bliss,Bengaluru Urban,Anekal,Residential/Group Housing,2021-03-12,2024-02-28,2024-02-28,"Sy No. 12, Kadaagrahara Village, , Sarjapura Hobli, Anekal Taluk,",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/210119/003791,7483,M S DEVELOPERS AND CONSTRUCTIONS,M S DEVELOPERS AND CONSTRUCTIONS,AMAZING GRACE,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2021-01-19,2021-12-31,2021-12-31,"Western Portion of Site No.10, Present BBMP Katha No.186/311/10, Comprised in Property No.42/4, situated at Kothanur Village, K.R.Puram Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210302/003964,7487,Vigneshwara Developers,Vigneshwara Developers,Narayan Adobe Phase II,Bengaluru Urban,Bengaluru South,Plotted Development,2021-03-02,2021-12-31,2021-12-31,"Sy.no:- 157/1, 157/2, 175/1P, 176/3,176/4,176/5,176/6 situated at Kambipura Village,, Kengeri Hobli, Bangalore South Taluk",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210129/003801,7495,RAJARAJESHWARE BUILDDCON PVT LTD,Rajarajeshware Builddcon pvt ltd,PANCHSHEEL ENCLAVE,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-01-29,2023-02-25,2023-02-25,"property no.3/4,Deewan Madhav rao road,Ward no 167(old no.52, , property no.3/4,Deewan Madhav rao road,Ward no 167(old no.52,",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/472/PR/210212/003894,7502,SLV Estates,SLV Estates,SLV FEDORA,Bengaluru Urban,Yelahanka,Mixed Development,2021-02-12,2023-04-30,2023-04-30,"# 49/2B3, Avalahalli village, BMSIT College (opposite), Yelahanka Hobli, Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/211022/004367,7514,BTM Meadows,BTM Meadows,BTM Meadows,Bengaluru Urban,Bengaluru South,Plotted Development,2021-10-22,2022-11-30,2022-11-30,"SY NO.337/2,337/3,337/5, BEGURU VILLAGE, BEGURU HOBLI",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/210907/004295,7522,SAI RENIIT PROJECTS PVT LTD,SAI RENIIT PROJECTS PRIVATE LTD,SAI  METRO CITY 7TH PHASE,Bengaluru Urban,Anekal,Plotted Development,2021-09-07,2021-12-31,2021-12-31,"SY NO 26/6, 33/2,34/2,39/2, 88, 89,90/1 & 95/1 OF CHIKKANAHALLI KAMANAHALLI VILLAGE, SARJAPURA HOBLI, ANEKAL TALUK BANGALORE URBAN DISTRICT, BANGALORE",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210208/003829,7526,Mahesh,Mahesh,GOVIANU JODIDHAR ATLANTIS,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-02-08,2025-06-30,2023-04-01,"224/108/42/10/49/2 ,Katha no 224/108/42/10/49/2,sy no 49/2,byatarayanapura village,kodigehalli sub division,ward no 7,yelahanka zone bangalore north ,, 224/108/42/10/49/2 ,Katha no 224/108/42/10/49/2,sy no 49/2,byatarayanapura village,kodigehalli sub division,ward no 7,yelahanka zone bangalore north ,bengaluru",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210405/004101,7531,SRI LAKSHMI VALLABHA BUILDERS LLP,Sri Lakshmi Vallabha constructions,VALLABHAJAGANATH SKN,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-04-05,2022-12-02,2022-12-02,"No1/3A Gubbalala main road bangalore , gubbalala",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
TOR/PRM/KA/RERA/1251/309/PR/210807/000942,7535,GARDENCITY REALTY PVT LTD,GARDENCITY REALTY PVT LTD,Iconica Nitesh Knightsbridge,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-08-07,2025-12-31,2020-12-30,"14th main road RMV extention, Sadashiv nagar",NA,NA,11,Yes,2,9,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210111/003782,7544,SAMMYS DREAM LAND CO  PRIVATE  LIMITED,SAMMYS DREAM LAND CO  PRIVATE  LIMITED,Sammy's Beverly Hills Phase-II,Bengaluru Urban,Bengaluru North,Plotted Development,2021-01-11,2023-12-31,2023-12-31,"Sy No:145/3 146/1 & 147 of Hosahalli Village, Jala Hobli, Bengaluru North Taluk, Bangaluru Urban District",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210409/004108,7545,RAJARAJESHWARE BUILDDCON PVT LTD,Rajarajeshware builddcon pvt ltd,PENTA   SQUARE,Bengaluru Urban,Bengaluru South,Commercial,2021-04-09,2023-11-30,2023-11-30,"Muncipal N0.10 ,100' road, Srinivagilu village, Muncipal ward no.68, Ejipura, Bangalore, Muncipal N0.10 ,100' road, Srinivagilu village, Muncipal ward no.68, Ejipura, Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210208/003832,7558,Karnataka Slum Devlopment Board,Karnataka Slum Devlopment Board,BTMCHIKKAPETE1008,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-02-08,2022-06-21,2022-06-21,"RAJENDRANAGARA , A K COLONY, BHOVI COLONY,, SIDHARTHA NAGARA, PARVATHIPURA,",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210216/003901,7562,KSDB,karnataka slum development board,construction of 457 houses  at T Dasarahalli,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-02-16,2022-12-31,2022-12-31,"T Dasarahalli Area in banglore, kammagondanahalli, mallasandra slums",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/210216/003902,7563,KSDB,Karnataka Slum Development Board,SARVAGNANAGAR762,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2021-02-16,2022-09-15,2022-09-15,"LINGRAJPURAM A BLOCK,B BLOCK,E and G BLOCK, HENNUR GUND THOPU,GANDHI GRAMA,S K GARDEN",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210219/003917,7565,KSDB,Karnataka Slum Development Board,GANDHINAGAR933,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-02-19,2025-11-01,2025-11-01,"SWATANTRAPALYA, GOPALANAGARA,, MUNESHWARA BLOCK",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210208/003834,7567,KSDB,Karnataka Slum Development Board,SARVAGNANAGAR616,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-02-08,2024-12-06,2024-12-06,"CHETTAPPA GARDEN, KRISHNAPPA LANE, K R PALYA, MUNINARAYANAPPA GARDEN, LINGRAPURA, SATYANAGARA",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210208/003835,7568,KSDB,Karnataka Slum Development Board,Chikkapete500,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-02-08,2024-04-14,2024-04-14,"Dayananda Slum, Someshwara slum",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210208/003837,7570,KSDB,Karnataka Slum Development Board,Shanthinagar350,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-02-08,2026-01-19,2026-01-19,"AMBEDKAR NAGARA, JAYARAJANAGARA",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210216/003903,7572,KSDB,Karnataka Slum Development Board,GANDHINAGAR500,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-02-16,2027-10-21,2027-10-21,"NAGAMMA NAGAR, NAGAMMA NAGAR",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210225/003944,7574,KSDB,Karnataka Slum Development Board,SHIVAJINAGAR 500 DUS BANGALORE,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-02-25,2027-09-01,2027-09-01,"M R S Palya, M R S Palya",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/472/PR/210302/003968,7575,KSDB,Karnataka Slum Development Board,Construction of 759 DU's in Bangalore city,Bengaluru Urban,Yelahanka,Residential/Group Housing,2021-03-02,2025-05-05,2025-05-05,"LBS Nagara, Venkatala, AK Colony , MR Jayaram Colony, Yalahanka & Malleshwaram Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210208/003839,7576,KSDB,Karnataka Slum Development Board,chikkapetechamrajpete1155,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-02-08,2026-04-14,2026-04-14,"shankrappa garden, vinoba nagar, Dayananda slum, K S Garden, Farookia nagar, Anandapuram",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210219/003918,7582,KSDB,Karnataka Slum Development Board,Construction of 346 DU's Byatrayanpura,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-02-19,2026-03-30,2026-03-30,"Sanjeevininagara/ Agrahara, A.K.Colony/Dwarkanagara/Kattigenahalli ,Varadharajanagara/ Kogilu/chokkanahalli, Byatyrayanpura Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210216/003904,7587,KSDB,karnataka Slum Development Board,CONSTRUCTION OF 860 GROUND FLOOR DWELLING UNITS,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-02-16,2024-08-23,2024-08-23,"CONSRUCTON OF 860 GROUND FLOOR DWELLING UNITS INCLUDING INFRASTRUCTURE AT 2 SELECTED SLUMS (IN-SITU) OF YESHWANTHPURA , ULLAL AMBEDKARNAGAR,G HOSAHALLI,GOLLARAHATTI",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210331/004070,7588,KSDB,Karnataka Slum Development Board,construction of 893 GF DU's in Bangalore city,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-03-31,2022-12-06,2022-12-06,"Slums of rajajinagar and mahalakshmipuram area in banglore city, Slums of rajajinagar and mahalakshmipuram area in banglore city",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/210730/004191,7589,KSDB,Karnataka Slum Development Board,construction of 588 multi storied G+3 units,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2021-07-30,2023-11-21,2023-11-21,"rajarajeshwarinagara assembly constituency in bangalore city., MATHAPURA,NAGARABHAVI DHOBIGHAT,THYAGINARA",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/472/PR/210219/003919,7604,Karnataka Slum Development Work,Karnataka Slum Development Work,Construction of 592 DU's,Bengaluru Urban,Yelahanka,Residential/Group Housing,2021-02-19,2026-01-02,2026-01-02,"1.Chikkabettahalli/Doddabettahalli, 2.Giddenahalli, 3.Kenchenahallli/Puttenhalli/Ananthapura, Yalahanka",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/210208/003849,7611,KSDB,Karnataka slum development Board,Construction of 768 G+3 Houses at KR Puram,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2021-02-08,2024-12-24,2024-12-24,"Sy no 13 of Nagareshwara Nagenhalli , K.R Puram Constituency, Bangalore.",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/210219/003921,7644,NAVAJYOTHI DEVELOPERS,NAVAJYOTHI CONSTRUCTIONS,NAVA VAIBHAVA ‘B’ and ‘C’ Block,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2021-02-19,2022-12-31,2022-12-31,"Converted Sy No's. 12/1, 17/1A2, 17/1A3, 17/1A4, , Horamavu Village, K.R.Puram Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/210130/003807,7649,SREE ADITHYA DEVELOPERS,Sree Adithya Developers,Sree Adithya Lotus,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2021-01-30,2023-06-30,2023-06-30,"BBMP Khatha No.620/18/2/206, Sy No.18/2 and 18/3 of Seegehalli Village, K.R.Puram Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/210119/003795,7660,Nava Jyothi Shelters Pvt Ltd,Nava Jyothi Shelters Pvt Ltd,NAVA PUSHKARA,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2021-01-19,2023-12-31,2023-12-31,"Converted Sy No's 419 and 417, Khatha No.84, Situated at Kalkere Village, K.R.Puram Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/220818/005162,7668,Ashok A Reddy,Ashok A Reddy,LASAVI ARCADE,Bengaluru Urban,Anekal,Residential/Group Housing,2022-08-18,2022-12-31,2022-12-31,"Plot no :- 58/22, Katha no:- 106, Kudlu Village, Sarjapura Hobli, Anekal Taluk, Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/210113/003785,7677,Pionier,PIONIER GARDENIAA PHASE II,SILVERLANE,Bengaluru Urban,Anekal,Plotted Development,2021-01-13,2025-12-31,2025-12-31,"Sy.No. 37(p), 38/1(p), 39/1(p), GATTAHALLI VILLAGE, SARJAPURA HOBLI ANEKAL TALUK, ANEKAL",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/210208/003868,7679,SIRI GROUP,SIRI GROUP,SIRI GREEN WOODS,Bengaluru Urban,Anekal,Residential/Group Housing,2021-02-08,2023-10-10,2023-10-10,"Siri Green Woods, Sy.No:70/2(P) at Maragondanahalli Village, Jigani Hobli,, Anekal Taluk, Bengaluru Urban District",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/210208/003869,7682,SPECKLES DEVELOPERS PRIVATE LIMITED,SPECKLES DEVELOPERS PRIVATE LIMITED,Speckles Patio,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2021-02-08,2027-03-31,2025-03-31,"Speckles Patio , Speckles Patio, Sy.No:13/2, Khatha No.516, Byrathi Village, Ward No:54, Bidarahalli Hobli, Bengaluru East Taluk",NA,NA,48,Yes,42,6,42,6,NA,NA
PRM/KA/RERA/1251/472/PR/210219/003922,7686,NEIGHBOURHOOD PROPERTIES,NEIGHBOURHOOD PROPERTIES,NEIGHBOURHOOD ELITE,Bengaluru Urban,Yelahanka,Residential/Group Housing,2021-02-19,2022-12-31,2022-12-31,"Sy.No.19/1, earlier Sy.No.19, BBMP Katha No.170/19/1, Situated at Venkateshapura Village, Yelahanaka Hobli, Bangalore North Taluk, Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210810/004250,7689,UKN Properties Pvt Ltd,UKN Properties Private Limited,Miraya Brunton by UKN,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-08-10,2026-06-30,2024-12-31,"Property bearing No. 16, Old No. 5/11, Formerly Known as Nos. 5, 5/11 and 5/12, Forming a part of composite block bearing No. 5, Brunton Road, 1st Cr, Bangalore",NA,NA,10,Yes,5,5,5,5,NA,NA
PRM/KA/RERA/1251/446/PR/210312/004002,7710,DS Max,DS Max Properties Private Limited,DS MAX SKY SHUBHAM,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2021-03-12,2027-03-31,2027-03-31,"SY NO: 118/1,118/2, situated at Kithaganur village, Kithaganur grama panchayath, Bidarahalli, Hobli, Bangalore East Taluk",NA,NA,713,Yes,465,248,464,249,464,249
PRM/KA/RERA/1251/310/PR/210219/003925,7716,R A DEVELOPERS AND PROMOTERS,R A DEVELOPERS AND PROMOTERS,R A SUKRITI,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-02-19,2022-12-31,2022-12-31,"Site No's 1,2 and 3, BBMP Khatha No.1/1,2 and 3, Happy Valley Layout, Uttarahalli Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/210130/003809,7731,Pride & Expert,Pride and Expert Properties Private Limited,Pride Pegasus,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2021-01-30,2023-06-30,2023-06-30,"Sy No 115/1, Hennur Main Road, Bairathi Village, Bidarahalli Hobli, Bengaluru",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/210208/003878,7738,Geown Casper Properties Pvt Ltd,Geown Casper Properties Private Limited,Geown Oasis Phase-2,Bengaluru Urban,Anekal,Plotted Development,2021-02-08,2023-12-31,2023-12-31,"Sy.No. 116/1, 114/1 & 115/1 of Valagere Kallahalli, Sarjapura Hobli, Anekal Taluk, Bengaluru Urban",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/220923/006280,7740,M/s PSR BUILDERS AND DEVELOPERS,M/s PSR BUILDERS AND DEVELOPERS,PSR VANASREE PHASE-1,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2023-09-22,2026-12-31,2026-12-31,"SY 81, KODATHI VILLAGE, VARTHURU 2 HOBLI , BANGALORE EAST TALUK , Bengaluru East , Bengaluru Urban, Karnataka - 560099",12.891308,77.709974,168,Yes,70,98,73,95,75,93
PRM/KA/RERA/1251/310/PR/210208/003880,7743,KSDB,Karnataka Slum Development Board,Govindarajanagara and Vijayanagara 1607 houses,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-02-08,2024-12-31,2024-12-31,"06 selected slums , Govindarajanagara and Vijayanagara Constituency Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210319/004023,7744,KSDB,Karnataka Slum Development Board,Govindarajanagara 1845 houses,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-03-19,2024-10-15,2024-10-15,"06 selected slums of Govindarajanagara , Govindarajanagara Constituency, Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210312/004004,7748,M R COMFORT,M R COMFORT,COMFORT LALBAGH RESIDENCY,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-03-12,2026-12-31,2023-01-20,"NO. 147, SIIDAPURA 1ST BLOCK, JAYANAGAR,, BANGALORE",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/210219/003926,7754,Mysore Projects,Mysore Projects Private Limited,Paradise at Brigade Cornerstone Utopia,Bengaluru Urban,Bengaluru East,Mixed Development,2021-02-19,2026-01-14,2026-01-14,"Sy No's. 172 (P), 183/6A (P), 183/6B (P), 183/7 (P), 183/8 (P), 183/9 (P) & 183/11 (P) , Varthur Village, Varthur Hobli,",NA,NA,1184,Yes,1161,23,1161,23,NA,NA
PRM/KA/RERA/1251/310/PR/210208/003883,7755,Assistant Executive Engineer,Assistant Executive Engineer,Construction of 895 Padmanabhanagara,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-02-08,2024-05-26,2024-05-26,"Padmanabhanagara, Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210208/003886,7761,KSDB,karnataka slum development board,VIJAYANAGARA 1378 HOUSES,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-02-08,2024-06-01,2024-06-01,"11 SELECTED SLUMS, VIJAYANAGARA CONSTITUENCY",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210208/003887,7762,KSDB,karnataka slum development board,BANGALORE SOUTH AND BASAVANAGUDI 1699,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-02-08,2024-02-20,2024-02-20,"VARIOUS SLUMS, BANGALORE SOUTH AND BASAVANAGUDI",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210730/004197,7763,KSDB,karnataka slum development board,JAYANAGARA CHAMARAJAPETE CHIKKAPETE 931,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-07-30,2024-06-18,2024-06-18,"7 SELECTED SLIMS, JAYANAGARA, CHAMRAJPETE,CHIKKAPETE",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/210319/004024,7768,Abhee,ABHEE DEVELOPERS,ABHEE SUNRISE,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2021-03-19,2023-03-31,2023-03-31,"170/12 KUDLU VILLAGE BOMMANAHALLI, BANGALORE",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/210323/004054,7801,RGHCL,Rajiv Gandhi Housing Corporation Limited,CM 1 Lakh Multi  Storey Bengaluru Housing Prg,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2021-03-23,2024-03-07,2024-03-07,"Sy No. 104/1, Horamava Agara Village, K R Puram Hobli, Bangalore East Taluk. , Sy No. 104/1, Horamava Agara Village, K R Puram Hobli, Bangalore East Taluk.",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/472/PR/220214/004695,7809,Land Capital Projects,Land Capital Projects,Land Capital Calista,Bengaluru Urban,Yelahanka,Residential/Group Housing,2022-02-14,2025-12-31,2025-12-31,"KHATHA NO.552/57/1, ATTUR VILLAGE, YELAHANKA HOBLI,, BANGALORE NORTH TALUK,WARD NO -03",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/210302/003975,7816,GREEN HOME VENTURES,GREEN HOME VENTURES,GREEN HOME ANEES ENCLAVE,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2021-03-02,2023-06-30,2023-06-30,"Sy No. 8/2, BBMP Khatha No.3800/8/2, Situated at Kasavanahalli Village, Varthur Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
