Registration Number,Action ID,Builder,Promoter Name,Project Name,District,Taluka,Project Type,Approved On,Proposed Completion Date,Proposed Completion Date At Registration,Project Address,Latitude,Longitude,Total Units,Has Quarterly Update,Units Booked (Q3_FY25-26),Units Available (Q3_FY25-26),Units Booked (Q4_FY25-26),Units Available (Q4_FY25-26),Units Booked (Q1_FY26-27),Units Available (Q1_FY26-27)
PRM/KA/RERA/1251/446/PR/171117/000808,1051,DSR,DSR INFRASTRUCTURE PVT LTD,DSR WATERSCAPE,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-11-17,2019-08-30,2019-08-30,"BBMP KHATHA NO.10, WARD NO.26, K.CHANNASANDRA VILLAGE, K.R.PURAM HOBLI, BENGALURU",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171015/000830,1052,Umiya Builders and Developers,Umiya Builders and Developers,Umiya Woods,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-15,2019-03-31,2018-09-30,"57/2, Pattandur Agrahara, Krishnarajapuram Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171019/000826,1053,ARNASHELTERS,ARNASHELTERS,arna meadows,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-10-19,2018-12-28,2017-12-28,"khat no 22/115/1, 116/1 & 116/1/3 sy nos 115/1, 116/1 & 116/1/3 at kammanahalli village, ward no 192 bbmp bengaluru",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171222/000817,1054,KSM Niketan Pvt Lted,KSM Niketan Pvt Lted,Olympia Enchante,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-12-22,2017-09-30,2017-09-30,"Sy.no.152 Hagadur Village, Whitefield",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/171125/000801,1055,BVS REDDY,BVS REDDY,Shilpitha Snflower,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2017-11-25,2017-12-30,2017-12-30,"Nellurhalli, Whitefield",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/171014/000809,1056,MAHABALESHWARA PROMOTERS AND BUILDERS PRIVATE LIMITED,MAHABALESHWARA PROMOTERS AND BUILDERS PRIVATE LIMITED,CLASSIQUE TEMPLE TREE,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2017-10-14,2019-05-30,2019-05-30,"CALIFORNIA GARDEN LAYOUT, YELAHANKA",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171028/000901,1058,Monarch,Monarch,Monarch Aqua - Block C,Bengaluru Urban,Bengaluru East,Mixed Development,2017-10-28,2027-04-01,2026-07-01,"Sy.No.14,13/1,11/1 & 15, Katha No. 415 , Krishnarajapura Village",NA,NA,129,Yes,54,75,72,57,76,53
PRM/KA/RERA/1251/446/PR/171015/000829,1066,SVS CONSTRUCTIONS,SVS CONSTRUCTIONS,TRENDSQUARE PRECIOSO,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-15,2018-05-23,2018-05-23,"KALKERE VILLAGE, KR PURAM HOBLI, BANGALORE EAST TALUK BANGALORE",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171027/000815,1068,Peony Projects,Peony Projects,MIDDLE MIST,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-27,2018-01-01,2018-01-01,"Site No.86/1, K.Dommasandra, Belathur Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171015/000828,1069,Reddy Structures,REDDY STRUCTURES PRIVATE LIMITED,MAHAVEER WILLET,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-15,2017-12-31,2017-12-31,"MAHAVEER WILLET, SY. NO. 172, KUMBENA AGRAHARA VILLAGE, WHITEFIELD",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171026/000825,1070,Amrutha Constructions,Amrutha Constructions,Amrutha Maple,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-26,2018-01-31,2018-01-31,"Sy. No. 92/6, Belathur Village, , Kadugodi, Whitefield, Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171016/000820,1071,VAISHNOBUILDERS,vaishnobuilders,vaishno signature,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-16,2019-12-30,2019-12-30,"86/1A anoop reddy layout, hoodi",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171021/000827,1076,Surya Homes,Surya Homes,Surya Elegance,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-21,2019-12-31,2019-12-31,"1528 SY No 165, PATTANDUR AGRAHARA",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171015/000842,1077,Parthu Estates Pvt Ltd,Parthu Estates Pvt Ltd,Parthu Pride,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-15,2019-03-29,2019-03-29,"Sy 74/3, New Temple Road, Nallurahalli Village,, Whitefield, Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171015/000839,1078,M/s. SHRAVANEE BUILDERS,M/s. SHRAVANEE BUILDERS,SHRAVANEE SUMO,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-10-15,2017-12-31,2017-12-31,"No. 20 (Old No. 43), 39th Cross Road, 8th Block, Jayanagar, Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171015/000831,1079,Meda Greens,Meda Greens,Meda Greens,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-10-15,2022-04-01,2020-07-01,"Sy No 101/1, Mysore Road, Valagerahalli village,, Kengeri Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
